Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_status,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR16117933,RNA-Seq,50,529325900,Batch 1,PRJNA767364,SAMN21899314,232391702,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",PD,SRX12403457,Illumina HiSeq 1500,GSM5603378,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:16:00Z,1,GSM5603378,neural progenitor cells derived from human fibroblasts - 2B_NPC,SRP339306
SRR16117934,RNA-Seq,50,612967250,Batch 1,PRJNA767364,SAMN21899315,273129322,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",healthy,SRX12403456,Illumina HiSeq 1500,GSM5603377,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:17:00Z,1,GSM5603377,neural progenitor cells derived from human fibroblasts - 2K_NPC,SRP339306
SRR16117937,RNA-Seq,50,600457200,Batch 1,PRJNA767364,SAMN21899318,271710115,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",PD,SRX12403453,Illumina HiSeq 1500,GSM5603374,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:17:00Z,1,GSM5603374,neural progenitor cells derived from human fibroblasts - 1B_NPC,SRP339306
SRR16117941,RNA-Seq,50,634161550,Batch 1,PRJNA767364,SAMN21899322,282771682,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",PD,SRX12403449,Illumina HiSeq 1500,GSM5603370,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:17:00Z,1,GSM5603370,neural progenitor cells derived from human fibroblasts - 2B_NPC,SRP339306
SRR16117942,RNA-Seq,50,544976450,Batch 1,PRJNA767364,SAMN21899323,239253178,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",healthy,SRX12403448,Illumina HiSeq 1500,GSM5603369,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:16:00Z,1,GSM5603369,neural progenitor cells derived from human fibroblasts - 2K_NPC,SRP339306
SRR16117953,RNA-Seq,50,683667950,Batch 1,PRJNA767364,SAMN21899334,309994690,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",PD,SRX12403437,Illumina HiSeq 1500,GSM5603358,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:17:00Z,1,GSM5603358,neural progenitor cells derived from human fibroblasts - 1B_NPC,SRP339306
SRR16117954,RNA-Seq,50,628624150,Batch 1,PRJNA767364,SAMN21899335,278864424,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",healthy,SRX12403436,Illumina HiSeq 1500,GSM5603357,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:16:00Z,1,GSM5603357,neural progenitor cells derived from human fibroblasts - 1K_NPC,SRP339306
SRR16117938,RNA-Seq,50,635018550,Batch 1,PRJNA767364,SAMN21899319,280916087,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",healthy,SRX12403452,Illumina HiSeq 1500,GSM5603373,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:18:00Z,1,GSM5603373,neural progenitor cells derived from human fibroblasts - 1K_NPC,SRP339306
SRR16117945,RNA-Seq,50,648107350,Batch 1,PRJNA767364,SAMN21899326,293517972,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",PD,SRX12403445,Illumina HiSeq 1500,GSM5603366,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:16:00Z,1,GSM5603366,neural progenitor cells derived from human fibroblasts - 1B_NPC,SRP339306
SRR16117946,RNA-Seq,50,651809000,Batch 1,PRJNA767364,SAMN21899327,288735899,neural progenitor cells,"LABORATORY OF MOLECULAR GENETICS OF HEREDITARY DISEASE, INSTITUTE OF MOLECULAR GENETICS OF NATIONAL RESEARCH CENTRE «KURCHATOV INSTITUTE»",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",healthy,SRX12403444,Illumina HiSeq 1500,GSM5603365,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-10T00:00:00Z,2021-09-29T13:16:00Z,1,GSM5603365,neural progenitor cells derived from human fibroblasts - 1K_NPC,SRP339306
